CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
220598783,7/2/2019,22:25:00,7/2/2019,22:30:00,42,7/2/2019,118,DANGEROUS WEAPONS,792,WEAPONS POSSESSION 1 & 2,COMPLETED,FELONY,BRONX,,STREET,N.Y. POLICE DEPT,,,1014748,242449,40.83209749,-73.88979346
701659823,7/2/2019,17:09:00,,,52,7/2/2019,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,BRONX,INSIDE,RESTAURANT/DINER,N.Y. POLICE DEPT,,,1008615,253266,40.86180601,-73.91191643
574803242,7/2/2019,16:50:00,,,52,7/2/2019,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,,,1017088,260895,40.88271781,-73.88124725
920805107,7/2/2019,3:00:00,7/2/2019,7:00:00,107,7/2/2019,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,,,1041153,200967,40.71810995,-73.79472752
475720005,7/1/2019,16:00:00,7/1/2019,16:02:00,14,7/1/2019,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESTAURANT/DINER,N.Y. POLICE DEPT,,,986360,215716,40.75877504,-73.99238512
810692065,7/1/2019,14:00:00,7/1/2019,16:35:00,40,7/1/2019,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BRONX,INSIDE,OTHER,N.Y. POLICE DEPT,,,1004815,237082,40.81739532,-73.92570391
538987276,7/1/2019,0:31:00,,,44,7/1/2019,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,,,1004680,239996,40.82539373,-73.92618277
519498235,6/30/2019,17:30:00,,,108,6/30/2019,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,QUEENS,INSIDE,HOMELESS SHELTER,N.Y. POLICE DEPT,,,1014121,208757,40.73962415,-73.892209
925352032,6/30/2019,10:32:00,,,14,6/30/2019,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,MANHATTAN,INSIDE,HOTEL/MOTEL,N.Y. POLICE DEPT,,,985929,214009,40.75408986,-73.9939413
410701794,6/30/2019,9:00:00,,,77,6/30/2019,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,,STREET,N.Y. POLICE DEPT,,,1003358,182945,40.66880609,-73.93112157
234818352,6/30/2019,7:48:00,,,49,6/30/2019,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,,,1022681,254648,40.86554915,-73.86105678
597412307,6/30/2019,5:15:00,6/30/2019,5:30:00,47,6/30/2019,348,VEHICLE AND TRAFFIC LAWS,916,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,,,1026817,256422,40.87039926,-73.84609211
934468178,6/30/2019,3:15:00,,,83,6/30/2019,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,,,1007046,192510,40.69505111,-73.91779484
358266647,6/29/2019,16:50:00,6/29/2019,16:55:00,70,6/29/2019,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,,,992382,175543,40.64850611,-73.9706964
603869779,3/6/2014,16:30:00,,,34,3/6/2014,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,MANHATTAN,,STREET,N.Y. POLICE DEPT,,,1004148,254866,40.86620872,-73.9280609
399335451,6/22/2019,8:00:00,6/22/2019,15:00:00,44,6/29/2019,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,,,1005908,241168,40.82860761,-73.92174192
636369665,6/28/2019,22:00:00,,,33,6/28/2019,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,,STREET,N.Y. POLICE DEPT,,,1000291,242718,40.83287391,-73.94203481
